coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor,longitude,latitude
2742957.0,1252519.2,St. Gallen,SG,1919.0,Stationsstrasse,43,0.0,4.0,71.0,1.0,3004,3,9.332825134635113,47.40796049818851
2742941.8,1252412.2,St. Gallen,SG,1948.0,Lehnstrasse,22,0.0,4.0,85.0,1.0,3004,1,9.332589600251843,47.40700169584548
2742941.8,1252412.2,St. Gallen,SG,1948.0,Lehnstrasse,22,0.0,4.0,85.0,1.0,3004,2,9.332589600251843,47.40700169584548
2742941.8,1252412.2,St. Gallen,SG,1948.0,Lehnstrasse,22,0.0,4.0,85.0,1.0,3004,3,9.332589600251843,47.40700169584548
2742941.8,1252412.2,St. Gallen,SG,1948.0,Lehnstrasse,22,0.0,4.0,85.0,1.0,3004,4,9.332589600251843,47.40700169584548
2742941.8,1252412.2,St. Gallen,SG,1948.0,Lehnstrasse,22,0.0,4.0,85.0,1.0,3004,5,9.332589600251843,47.40700169584548
2742941.8,1252412.2,St. Gallen,SG,1948.0,Lehnstrasse,22,0.0,4.0,85.0,1.0,3004,6,9.332589600251843,47.40700169584548
2742936.5,1252508.2,St. Gallen,SG,1918.0,Stationsstrasse,41,0.0,5.0,95.0,1.0,3004,1,9.332550093277206,47.40786604029909
2742936.5,1252508.2,St. Gallen,SG,1918.0,Stationsstrasse,41,0.0,5.0,95.0,1.0,3004,2,9.332550093277206,47.40786604029909
2742936.5,1252508.2,St. Gallen,SG,1918.0,Stationsstrasse,41,0.0,5.0,95.0,1.0,3004,3,9.332550093277206,47.40786604029909
2742936.5,1252508.2,St. Gallen,SG,1918.0,Stationsstrasse,41,0.0,5.0,95.0,1.0,3004,4,9.332550093277206,47.40786604029909
2742936.5,1252508.2,St. Gallen,SG,1918.0,Stationsstrasse,41,0.0,4.0,70.0,1.0,3004,5,9.332550093277206,47.40786604029909
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,4.0,85.0,1.0,3004,1,9.33297286018107,47.407530726876644
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,3.0,75.0,1.0,3004,2,9.33297286018107,47.407530726876644
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,5.0,120.0,1.0,3004,3,9.33297286018107,47.407530726876644
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,2.0,80.0,1.0,3004,4,9.33297286018107,47.407530726876644
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,3.0,75.0,1.0,3004,5,9.33297286018107,47.407530726876644
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,3.0,75.0,1.0,3004,6,9.33297286018107,47.407530726876644
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,4.0,85.0,1.0,3004,7,9.33297286018107,47.407530726876644
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,3.0,75.0,1.0,3004,8,9.33297286018107,47.407530726876644
2742969.3,1252471.7,St. Gallen,SG,1919.0,Rickenstrasse,14,0.0,4.0,85.0,1.0,3004,9,9.33297286018107,47.407530726876644
2742935.9,1252432.0,St. Gallen,SG,1948.0,Rickenstrasse,21,0.0,4.0,80.0,1.0,3004,1,9.332517785418514,47.40718101021869
