Geo Point;Geo Shape;Kategorie;Bezeichnung;Adresse;Ort;Land;PLZ;Information;Parkplatzart;Anzahl_Parkplätze
47.41777780658246,9.359821518540253;"{""coordinates"": [9.359821518540253, 47.41777780658246], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Grenzstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.435752188407584,9.408956047303368;"{""coordinates"": [9.408956047303368, 47.435752188407584], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Burenbüchelstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.43650118510668,9.382407906387344;"{""coordinates"": [9.382407906387344, 47.43650118510668], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Goethestrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.44185316383356,9.388631522315439;"{""coordinates"": [9.388631522315439, 47.44185316383356], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Hompelistrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42115067681269,9.371421969745633;"{""coordinates"": [9.371421969745633, 47.42115067681269], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Davidstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42717763089353,9.379637582595514;"{""coordinates"": [9.379637582595514, 47.42717763089353], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Museumstrasse;St.Gallen;Schweiz;9000;Carparkplatz: 1;Carparkplatz;1.0
47.42491091492654,9.381521601956724;"{""coordinates"": [9.381521601956724, 47.42491091492654], ""type"": ""Point""}";Parkplätze, Parkhäuser;Lämmlisbrunnenstrasse Südseite;Lämmlisbrunnenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.40940461305168,9.330892224918957;"{""coordinates"": [9.330892224918957, 47.40940461305168], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Zürcher Strasse;St.Gallen;Schweiz;9014;Güterumschlag: 2;Güterumschlag;2.0
47.4127865460456,9.360857472070427;"{""coordinates"": [9.360857472070427, 47.4127865460456], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Hochwachtstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.42015822563264,9.353134172495777;"{""coordinates"": [9.353134172495777, 47.42015822563264], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Waldaustrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.439171071206914,9.401317484931212;"{""coordinates"": [9.401317484931212, 47.439171071206914], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Hüttenwiesstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
