"GEONR";"GEONAME";"CLASS_HAB";"VARIABLE";"VALUE";"STATUS"
"4001";"Aarau";4;"bew_mie_z4_ic";0.1;"A"
"4001";"Aarau";4;"bew_mie_z5_t";1072;"A"
"4001";"Aarau";4;"bew_mie_z5_ic";0.2;"A"
"4001";"Aarau";4;"bew_mie_z6_t";184;"U"
"4001";"Aarau";4;"bew_mie_z6_ic";0.5;"U"
"2762";"Allschwil";4;"bew_mie_t";11625;"A"
"2762";"Allschwil";4;"bew_mie_t_ic";0.07;"A"
"2762";"Allschwil";4;"bew_mie_z1_t";383;"U"
"2762";"Allschwil";4;"bew_mie_z1_ic";0.4;"U"
"2762";"Allschwil";4;"bew_mie_z2_t";1389;"A"
"2762";"Allschwil";4;"bew_mie_z2_ic";0.2;"A"
"2762";"Allschwil";4;"bew_mie_z3_t";5274;"A"
"2762";"Allschwil";4;"bew_mie_z3_ic";0.1;"A"
"2762";"Allschwil";4;"bew_mie_z4_t";3728;"A"
"2762";"Allschwil";4;"bew_mie_z4_ic";0.1;"A"
"2762";"Allschwil";4;"bew_mie_z5_t";745;"A"
"2762";"Allschwil";4;"bew_mie_z5_ic";0.3;"A"
"2762";"Allschwil";4;"bew_mie_z6_t";106;"U"
"2762";"Allschwil";4;"bew_mie_z6_ic";0.7;"U"
"1701";"Baar";4;"bew_mie_t";12223;"A"
"1701";"Baar";4;"bew_mie_t_ic";0.05;"A"
"1701";"Baar";4;"bew_mie_z1_t";431;"A"
"1701";"Baar";4;"bew_mie_z1_ic";0.2;"A"
"1701";"Baar";4;"bew_mie_z2_t";1162;"A"
"1701";"Baar";4;"bew_mie_z2_ic";0.1;"A"
"1701";"Baar";4;"bew_mie_z3_t";3725;"A"
"1701";"Baar";4;"bew_mie_z3_ic";0.1;"A"
"1701";"Baar";4;"bew_mie_z4_t";5362;"A"
"1701";"Baar";4;"bew_mie_z4_ic";0.1;"A"
"1701";"Baar";4;"bew_mie_z5_t";1303;"A"
"1701";"Baar";4;"bew_mie_z5_ic";0.2;"A"
"1701";"Baar";4;"bew_mie_z6_t";241;"U"
"1701";"Baar";4;"bew_mie_z6_ic";0.3;"U"
"5002";"Bellinzona";4;"bew_mie_t";18601;"A"
"5002";"Bellinzona";4;"bew_mie_t_ic";0.04;"A"
"5002";"Bellinzona";4;"bew_mie_z1_t";623;"A"
"5002";"Bellinzona";4;"bew_mie_z1_ic";0.2;"A"
"5002";"Bellinzona";4;"bew_mie_z2_t";3004;"A"
"5002";"Bellinzona";4;"bew_mie_z2_ic";0.1;"A"
"5002";"Bellinzona";4;"bew_mie_z3_t";6729;"A"
"5002";"Bellinzona";4;"bew_mie_z3_ic";0.1;"A"
"5002";"Bellinzona";4;"bew_mie_z4_t";6942;"A"
"5002";"Bellinzona";4;"bew_mie_z4_ic";0.1;"A"
"5002";"Bellinzona";4;"bew_mie_z5_t";1076;"A"
"5002";"Bellinzona";4;"bew_mie_z5_ic";0.2;"A"
"5002";"Bellinzona";4;"bew_mie_z6_t";228;"U"
"5002";"Bellinzona";4;"bew_mie_z6_ic";0.4;"U"
"53";"Bülach";4;"bew_mie_t";11193;"A"
"53";"Bülach";4;"bew_mie_t_ic";0.07;"A"
"53";"Bülach";4;"bew_mie_z1_t";239;"U"
"53";"Bülach";4;"bew_mie_z1_ic";0.5;"U"
"53";"Bülach";4;"bew_mie_z2_t";910;"A"
"53";"Bülach";4;"bew_mie_z2_ic";0.2;"A"
"53";"Bülach";4;"bew_mie_z3_t";3779;"A"
"53";"Bülach";4;"bew_mie_z3_ic";0.1;"A"
"53";"Bülach";4;"bew_mie_z4_t";5039;"A"
"53";"Bülach";4;"bew_mie_z4_ic";0.1;"A"
"53";"Bülach";4;"bew_mie_z5_t";1142;"A"
"53";"Bülach";4;"bew_mie_z5_ic";0.2;"A"
"53";"Bülach";4;"bew_mie_z6_t";84;"U"
"53";"Bülach";4;"bew_mie_z6_ic";0.7;"U"
"2125";"Bulle";4;"bew_mie_t";11916;"A"
"2125";"Bulle";4;"bew_mie_t_ic";0.07;"A"
"2125";"Bulle";4;"bew_mie_z1_t";373;"U"
"2125";"Bulle";4;"bew_mie_z1_ic";0.4;"U"
"2125";"Bulle";4;"bew_mie_z2_t";1808;"A"
"2125";"Bulle";4;"bew_mie_z2_ic";0.2;"A"
