Stationsnummer;ID;Verfügbare Fahrmodi  an der Station;Name;Beschreibung;Standort;Minimaldauer;Maximaldauer;Gültig seit;Gültig bis;Informationstext;Strasse;Hausnummer;PLZ;Ort;ID der Fahrzeugkategorie;Fahrzeugkategorie;Fahrmodus des Fahrzeugs;Fahrzeugtyp;Fahrzeugbeschreibung
4439;80176;return;St. Gallen Theater;Wenige Schritte von der Haltestelle Theater stadteinwärts gehen und rechts in den Hinterhof des Hauses Rorschacherstrasse 21/23 einbiegen. Der Mobility-Standort befindet sich auf der Rückseite des Hauses.;47.4266,9.38034;60;16;;;;Rorschacherstrasse;21;9000;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
3154;70152;return;St. Gallen UNI / Gatterstrasse;Ab Haltestelle Gatterstrasse Richtung “Haus Peter“ gehen und in die Gatterstrasse einbiegen. Der Mobility-Standort befindet sich 30 m weiter beim Gebäudeeingang links.;47.43182,9.37324;60;16;;;;Gatterstrasse;1;9000;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
4233;79263;return;St. Gallen Winkeln Bahnhof;Der Mobility-Standort befindet sich unmittelbar links vor dem Bahnhofgebäude St. Gallen Winkeln.;47.4038,9.30091;60;16;;;;Letzistrasse;4;9015;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
5906;82818;return;St. Gallen Hagenbuchstrasse;Ab Haltestelle Krontal die Rorschacher Strasse stadteinwärts gehen und nach 100 m links in die Hagenbuchstrasse abbiegen. Der Mobility-Standort befindet sich nach 70 m auf der rechten Seite.;47.43173,9.39811;60;16;;;;Hagenbuchstrasse;4;9000;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
3108;70138;return;St. Gallen Kantonsspital;Bus bis Haltestelle St. Gallen Kantonsspital, der Hauptstrasse stadtauswärts auf der linken Seite folgen. Der Mobility-Standort befindet sich ca. 100 m östlich der Bushaltestelle, vor dem Haus 09 des Kantonsspital.;47.4301,9.38955;60;16;;;;Rorschacherstrasse;103;9000;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
3824;70212;return;St. Gallen Oberer Graben / Gartenstrasse;Der Mobility Standort befindet sich direkt bei der Bus-Haltestelle Einstein.;47.421976,9.374025;60;16;;;;Gartenstrasse;8;9000;St. Gallen;2305;2;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
2376;70933;return;St. Gallen Riethüsli;Bus bis Endstation Riethüsli. Ca. 200 m der Teufenerstrasse entlang den Geleisen Richtung Appenzell bis zum Restaurant Riethüsli folgen. Der Standort befindet sich 100 m von der Haltestelle der Appenzeller Bahnen Richtung Teufen entfernt.;47.41085,9.3672;60;16;;;;Teufenerstrasse;151;9012;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
2055;70725;return;St. Gallen St. Georgen;Bus bis Haltestelle Kirche St. Georgen. Der Mobility-Standort befindet sich an der St. Georgenstrasse 96a auf der linken Seite an der Ecke.;47.41567,9.38176;60;16;;;;St. Georgenstrasse;96a;9011;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
1296;69761;return;St. Gallen Stephanshorn;Bus Richtung Stephanshorn bis Haltestelle Klinik. Rechts der Brauerstrasse folgen und in die 1. Strasse rechts (Imbodenstrasse) abbiegen. Der Mobility-Standort befindet sich in der Einstellhalle an der Imbodenstrasse 1. Zugang erfolgt mittels Mobility-Card.;47.44461,9.41208;60;16;2011-10-27;;Access using the Mobility-Card. The Mobility checkpoint is on the key post at the top end of the ramp by the entry to the garage.;Imbodenstrasse;1;9016;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
3056;71254;return;St. Gallen Taubenloch;"Vom Marktplatz 5 vor dem Restaurant Hörnli nach rechts die Abfahrt hinunter gehen bis Sie zum Tiefgaragentor gelangen. Auf der linken Seite vom Tor finden Sie einen Kasten mit einem Mobility-Checkpoint. Halten Sie Ihre Mobility-Card an diesen Checkpoint. Das Tor öffnet automatisch. Der Mobility-Standort befindet sich in der Einstellhalle. 

Sie können die Einstellhalle zu Fuss über die Servicetür verlassen. Um mit dem Mobility-Auto die Einstellhalle zu verlassen, betätigen Sie die Torsteuerung. Der Torsteuerungskasten befindet sich auf der linke Seite des Garagentors. Drücken Sie den Knopf und das Tor öffnet sich automatisch.";47.42575,9.37475;60;16;2013-07-17;;Exit/entry requires your Mobility card . The Mobility Checkpoint card reader is by the key post.;Marktplatz;25;9000;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
